Date,Close BP,High BP,Low BP,Open BP,Volume BP,Close,Open,High,Low,Volume,ATR
2017-03-06,21.037565231323242,21.099494119953167,20.963247730044532,21.012792730897004,4984500,498.45,498.45,498.45,498.45,0.0,102.73071428571426
2017-03-07,20.975629806518555,21.08710367381984,20.957051616113407,21.08710367381984,4198800,419.88,419.88,419.88,419.88,0.0,100.29071428571426
2017-03-08,20.62882423400879,20.96324347209474,20.59785743354798,20.901314596043502,6737000,673.7,673.7,673.7,673.7,0.0,115.91071428571426
2017-03-09,20.74648666381836,20.74648666381836,20.49876647509735,20.57308394917454,7068000,706.8,706.8,706.8,706.8,0.0,117.10428571428568
2017-03-10,21.26050567626953,21.396749656743808,21.16761001293424,21.32862648528924,20585900,2058.59,2058.59,2058.59,2058.59,0.0,205.9257142857143
2017-03-13,21.099491119384766,21.23573748991774,21.02517599111011,21.124263616288093,7785900,778.59,778.59,778.59,778.59,0.0,284.77714285714285
2017-03-14,20.703140258789062,20.895123562799608,20.610244578234056,20.895123562799608,8722600,872.26,872.26,872.26,872.26,0.0,275.9107142857143
2017-03-15,20.919897079467773,20.969442080424336,20.72791610685027,20.80223124584944,8939000,893.9,893.9,893.9,893.9,0.0,270.94642857142856
2017-03-16,21.06852912902832,21.142844265943303,20.96324718616612,21.105687878703616,7129500,712.95,712.95,712.95,712.95,0.0,278.42357142857145
2017-03-17,21.22954750061035,21.29767069972683,21.161424301493877,21.254320002550127,4572100,457.21,457.21,457.21,457.21,0.0,279.30285714285714
2017-03-20,21.173799514770508,21.229536433861988,21.093292469087487,21.229536433861988,4048900,404.89,404.89,404.89,404.89,0.0,274.6014285714286
2017-03-21,21.20476722717285,21.384361874316927,21.111871570512204,21.37197562926653,5606100,560.61,560.61,560.61,560.61,0.0,285.6928571428571
2017-03-22,21.049943923950195,21.11187279034573,20.93227577038994,21.049943923950195,4982800,498.28,498.28,498.28,498.28,0.0,275.61
2017-03-23,21.093299865722656,21.22335193506234,20.969439739593493,20.99421223730641,5184300,518.43,518.43,518.43,518.43,0.0,276.2814285714286
2017-03-24,20.919897079467773,21.000406524804355,20.895126941425165,20.98182833066348,4488600,448.86,448.86,448.86,448.86,0.0,279.24071428571426
2017-03-27,20.901317596435547,20.9632464813767,20.78984371359305,20.820808156063627,3405000,340.5,340.5,340.5,340.5,0.0,281.36857142857144
2017-03-28,21.006595611572266,21.09329935145357,20.87654354540334,20.919894234126318,5862800,586.28,586.28,586.28,586.28,0.0,280.7942857142857
2017-03-29,21.32244110107422,21.359599850323168,20.963246945641128,20.98182750148339,5369600,536.96,536.96,536.96,536.96,0.0,281.95285714285717
2017-03-30,21.378175735473633,21.433912672111205,21.27289380518696,21.402948232298183,5921100,592.11,592.11,592.11,592.11,0.0,189.33571428571426
2017-03-31,21.378175735473633,21.38436767846211,21.260509919210012,21.34101699023681,4835300,483.53,483.53,483.53,483.53,0.0,105.66285714285712
2017-04-03,21.303861618041992,21.44629993788711,21.068527611915716,21.42152743988741,5370400,537.04,537.04,537.04,537.04,0.0,102.7942857142857
2017-04-04,21.545385360717773,21.551577303365786,21.25431444512211,21.378174559999106,5367800,536.78,536.78,536.78,536.78,0.0,101.26714285714284
2017-04-05,21.42152214050293,21.842645052576174,21.409135894567264,21.706398709718698,7381400,738.14,738.14,738.14,738.14,0.0,102.72500000000001
2017-04-06,21.508230209350586,21.63209034491195,21.384370073789224,21.415336879506256,5873700,587.37,587.37,587.37,587.37,0.0,95.22714285714285
2017-04-07,21.582542419433594,21.669246156275694,21.52680548410988,21.570158533748565,4186800,418.68,418.68,418.68,418.68,0.0,103.53928571428571
2017-04-10,21.731170654296875,21.737362595891337,21.55157363640509,21.55776794043435,5072500,507.25,507.25,507.25,507.25,0.0,98.74285714285713
2017-04-11,21.904582977294922,21.923163535098848,21.625898234594306,21.731180187363798,7661400,766.14,766.14,766.14,766.14,0.0,112.78285714285711
2017-04-12,21.954124450683594,22.10275471459611,21.861228763911686,21.92316000923811,6585900,658.59,658.59,658.59,658.59,0.0,119.02571428571426
2017-04-13,21.669248580932617,21.947930926298778,21.632089832413882,21.848843292684347,8907200,890.72,890.72,890.72,890.72,0.0,130.63714285714283
2017-04-17,21.694019317626953,21.71259987361808,21.495844044916005,21.638282374524774,5282900,528.29,528.29,528.29,528.29,0.0,148.785
2017-04-18,21.4710693359375,21.638280148038763,21.3348253264899,21.514422387165553,6567200,656.72,656.72,656.72,656.72,0.0,140.40285714285713
2017-04-19,21.142839431762695,21.471066710322688,21.087102501211465,21.433910331578577,7082800,708.28,708.28,708.28,708.28,0.0,140.56285714285715
2017-04-20,21.149036407470703,21.303860971617823,21.14284210194101,21.19857903953139,5689600,568.96,568.96,568.96,568.96,0.0,146.57500000000002
2017-04-21,21.056137084960938,21.124260259401872,20.950857533504912,21.07471527346848,5437800,543.78,543.78,543.78,543.78,0.0,140.61785714285716
2017-04-24,21.334823608398438,21.402946788853967,21.254314180365984,21.297664865667652,4980300,498.03,498.03,498.03,498.03,0.0,140.0635714285714
2017-04-25,21.46487808227539,21.483456274515994,21.35959850966473,21.396754894145932,4428900,442.89,442.89,442.89,442.89,0.0,143.98357142857142
2017-04-26,21.46487808227539,21.681631533200537,21.38436864517372,21.40914114311815,6208100,620.81,620.81,620.81,620.81,0.0,142.30928571428572
2017-04-27,21.303861618041992,21.38436869288786,21.11807024547968,21.378176749605654,5884800,588.48,588.48,588.48,588.48,0.0,133.8492857142857
2017-04-28,21.254314422607422,21.37198023227657,21.217155679453125,21.26670067032552,4257900,425.79,425.79,425.79,425.79,0.0,133.42071428571427
2017-05-01,21.254314422607422,21.421525223148965,21.223349984529772,21.26050872768407,5488800,548.88,548.88,548.88,548.88,0.0,135.88642857142855
2017-05-02,21.520614624023438,21.78691306591985,21.471069629049506,21.563965313407934,8663500,866.35,866.35,866.35,866.35,0.0,140.07071428571427
2017-05-03,21.48345184326172,21.545383075348624,21.32862730669687,21.427714915600976,5648200,564.82,564.82,564.82,564.82,0.0,153.9264285714286
2017-05-04,21.254314422607422,21.35340204191702,21.186191241375475,21.32243760383937,5219100,521.91,521.91,521.91,521.91,0.0,140.41071428571428
