Date,Close CVX,High CVX,Low CVX,Open CVX,Volume CVX,Close,Open,High,Low,Volume,ATR
2022-12-21,155.7332763671875,156.8564901764789,154.3604761140542,156.17008324882107,5479400,547.94,547.94,547.94,547.94,0.0,343.78714285714284
2022-12-22,153.39772033691406,156.18790867116476,150.0548481545428,156.14333432163014,5755000,575.5,575.5,575.5,575.5,0.0,334.07785714285717
2022-12-23,158.14013671875,158.3006016587884,154.83292941256602,155.19842004059274,6079100,607.91,607.91,607.91,607.91,0.0,327.0364285714286
2022-12-27,160.12803649902344,160.6628878783692,158.14013207935295,158.99591332936026,5168000,516.8,516.8,516.8,516.8,0.0,329.2385714285714
2022-12-28,157.76571655273438,159.83384643604867,156.8297097279961,159.4416139683732,4494400,449.44,449.44,449.44,449.44,0.0,320.98785714285714
2022-12-29,158.9602508544922,159.74470220957642,157.47154660090632,157.47154660090632,4142100,414.21,414.21,414.21,414.21,0.0,315.3592857142857
2022-12-30,160.00323486328125,160.4132862230756,158.4075629659325,158.70173734257526,5005100,500.51,500.51,500.51,500.51,0.0,302.3971428571429
2023-01-03,155.10035705566406,159.56642931455423,152.8895944984057,158.7106480662314,7565400,756.54,756.54,756.54,756.54,0.0,310.76071428571424
2023-01-04,153.45120239257812,155.36777698141287,152.30126035971358,152.39039545560033,7684500,768.45,768.45,768.45,768.45,0.0,300.71071428571435
2023-01-05,156.21463012695312,157.06148824861177,152.64890026550214,152.88066780971167,6088200,608.82,608.82,608.82,608.82,0.0,306.44642857142856
2023-01-06,157.39132690429688,159.91408262184535,156.62469437669495,157.801391857183,7191200,719.12,719.12,719.12,719.12,0.0,312.70071428571424
2023-01-09,156.16114807128906,158.9691687739328,155.44801291079028,158.90676196618944,8385600,838.56,838.56,838.56,838.56,0.0,202.63857142857142
2023-01-10,156.92776489257812,157.52503661305286,154.8596486503522,157.24868112353144,8307000,830.7,830.7,830.7,830.7,0.0,83.59714285714283
2023-01-11,156.17898559570312,158.79979956228877,155.376701713034,158.5769414168605,6962600,696.26,696.26,696.26,696.26,0.0,86.5392857142857
2023-01-12,157.85487365722656,159.00481563314455,156.80297620127422,156.8832154664348,6891400,689.14,689.14,689.14,689.14,0.0,81.90714285714284
2023-01-13,158.28273010253906,158.66605309637433,156.60683288723598,157.8637557987133,5726300,572.63,572.63,572.63,572.63,0.0,88.26071428571429
2023-01-17,160.89468383789062,161.63457456938863,158.83546299129168,159.06724418560597,10697700,1069.77,1069.77,1069.77,1069.77,0.0,121.45571428571428
2023-01-18,157.98858642578125,162.57947220209374,157.7300769722262,161.18883960574254,8899200,889.92,889.92,889.92,889.92,0.0,127.7942857142857
2023-01-19,159.5664520263672,160.413310364171,157.03478644309857,157.43592843446,5907200,590.72,590.72,590.72,590.72,0.0,144.3542857142857
2023-01-20,161.26011657714844,161.67018146828903,158.24708429859862,159.3970261157584,10477900,1047.79,1047.79,1047.79,1047.79,0.0,174.48571428571427
2023-01-23,161.04620361328125,162.73101054544307,160.48459676850035,161.53649422363117,8381300,838.13,838.13,838.13,838.13,0.0,183.29714285714286
2023-01-24,161.19772338867188,162.24069767000327,159.2989680137927,161.4294909171303,5989000,598.9,598.9,598.9,598.9,0.0,182.09714285714284
2023-01-25,159.6377410888672,160.48459928245697,157.20413406032952,159.82493430527256,6727500,672.75,672.75,672.75,672.75,0.0,186.52142857142857
2023-01-26,167.40211486816406,167.4199473280186,163.56004270148648,164.9061145757852,14307800,1430.78,1430.78,1430.78,1430.78,0.0,229.2642857142857
2023-01-27,159.96754455566406,164.22859042196038,158.6036540454409,164.22859042196038,19654700,1965.47,1965.47,1965.47,1965.47,0.0,259.5778571428571
2023-01-30,155.28753662109375,158.9780665757088,154.81507849083528,158.67498279444493,11476000,1147.6,1147.6,1147.6,1147.6,0.0,309.4657142857142
2023-01-31,155.12710571289062,155.67088014596544,152.80937549928404,153.9949824960597,14481300,1448.13,1448.13,1448.13,1448.13,0.0,330.3707142857143
2023-02-01,152.75588989257812,154.80618757976012,151.13347604201905,154.49418073090433,11526400,1152.64,1152.64,1152.64,1152.64,0.0,341.8742857142857
2023-02-02,150.66102600097656,152.8182913634048,148.70879993987964,152.55087245242075,10463400,1046.34,1046.34,1046.34,1046.34,0.0,348.9585714285714
2023-02-03,151.05325317382812,152.92526709730916,150.19748548471497,151.4187438087658,8404900,840.49,840.49,840.49,840.49,0.0,355.34000000000003
2023-02-06,151.22262573242188,151.6505095718463,149.1990699216435,151.15130949215413,7659500,765.95,765.95,765.95,765.95,0.0,325.1542857142857
2023-02-07,155.18948364257812,155.45691611815317,151.19586977444789,151.60593471728706,10256500,1025.65,1025.65,1025.65,1025.65,0.0,330.85785714285714
2023-02-08,151.5435333251953,155.17167032855727,151.0710751624148,153.75428223803448,9784700,978.47,978.47,978.47,978.47,0.0,312.8564285714286
2023-02-09,150.1528778076172,152.13185885246105,149.76064536958629,151.74853584177478,10123400,1012.34,1012.34,1012.34,1012.34,0.0,282.6278571428572
2023-02-10,153.29966735839844,153.9771512466647,152.23886037387595,152.2566928347252,11602400,1160.24,1160.24,1160.24,1160.24,0.0,278.2164285714286
2023-02-13,152.44383239746094,153.23720659866288,151.33846505323828,152.720187835694,9442900,944.29,944.29,944.29,944.29,0.0,276.5535714285715
2023-02-14,153.61167907714844,154.67247249307593,151.52571636157325,151.97143268164083,8077300,807.73,807.73,807.73,807.73,0.0,281.03285714285715
2023-02-15,151.992919921875,152.45157843903672,150.63496192164146,152.3436515231237,8885700,888.57,888.57,888.57,888.57,0.0,232.6621428571429
2023-02-16,149.79859924316406,151.67816044910177,149.645703930639,151.25548216724957,6727500,672.75,672.75,672.75,672.75,0.0,209.88571428571433
2023-02-17,146.453125,148.24274905662082,145.55381201559086,148.14382407943876,9612100,961.21,961.21,961.21,961.21,0.0,172.07071428571433
2023-02-21,144.78941345214844,147.26252455148636,144.51961676955298,145.8505963552801,7259700,725.97,725.97,725.97,725.97,0.0,167.40714285714284
2023-02-22,144.2048797607422,145.38297787881726,142.90986653333945,144.14192124881785,6205900,620.59,620.59,620.59,620.59,0.0,153.82785714285714
2023-02-23,145.62574768066406,146.44412580504374,144.3936932603397,145.91353442777984,6445500,644.55,644.55,644.55,644.55,0.0,147.94642857142858
2023-02-24,146.0574188232422,146.22829047853534,143.1256498375314,144.58254614100218,5330200,533.02,533.02,533.02,533.02,0.0,141.20928571428573
2023-02-27,146.42616271972656,146.92077393729483,145.61677271179656,146.59702067860854,6386800,638.68,638.68,638.68,638.68,0.0,143.43214285714288
2023-02-28,144.58255004882812,147.77511383724737,144.14188175339456,147.77511383724737,10854200,1085.42,1085.42,1085.42,1085.42,0.0,156.79214285714286
2023-03-01,145.73367309570312,147.11860906549248,144.4206700895366,144.71744502358302,7470400,747.04,747.04,747.04,747.04,0.0,177.59214285714285
2023-03-02,146.19232177734375,147.02869001841228,145.31998705348073,145.6707185810443,5582000,558.2,558.2,558.2,558.2,0.0,188.6614285714286
2023-03-03,148.35069274902344,148.90826247133387,144.26780365279603,144.67249179713195,6007500,600.75,600.75,600.75,600.75,0.0,181.13642857142858
2023-03-06,149.43882751464844,150.00539905014477,147.31644845687035,147.79308321064698,7703600,770.36,770.36,770.36,770.36,0.0,177.82642857142858
2023-03-07,147.5143280029297,149.82556927718485,147.1096398488279,149.01617924655224,7393000,739.3,739.3,739.3,739.3,0.0,170.2907142857143
2023-03-08,146.57904052734375,148.6474495865244,145.13114595246034,146.79486687929818,5435800,543.58,543.58,543.58,543.58,0.0,178.49642857142857
2023-03-09,144.34872436523438,148.82731297530813,144.0609513415439,147.29846990080515,6214700,621.47,621.47,621.47,621.47,0.0,168.64428571428576
2023-03-10,143.59327697753906,148.0898410980448,142.69396415343792,144.73540810642643,7385800,738.58,738.58,738.58,738.58,0.0,156.405
2023-03-13,142.72996520996094,144.74441744799404,138.3143353049285,140.68852095862943,10106100,1010.61,1010.61,1010.61,1010.61,0.0,159.03285714285715
2023-03-14,144.5735626220703,147.50533198076548,141.98355033986684,142.325279971502,10035200,1003.52,1003.52,1003.52,1003.52,0.0,152.01214285714286
2023-03-15,138.31434631347656,142.04648988699773,136.70456831039624,139.9241105941291,14063100,1406.31,1406.31,1406.31,1406.31,0.0,179.07142857142858
2023-03-16,138.75497436523438,139.81617066983486,134.81599339143725,135.0408216051956,12849600,1284.96,1284.96,1284.96,1284.96,0.0,179.77285714285713
2023-03-17,137.00135803222656,139.73527761405526,135.43656197864482,138.15247773328204,33161800,3316.18,3316.18,3316.18,3316.18,0.0,317.3128571428571
2023-03-20,139.01580810546875,140.0949809836416,136.05706058878752,136.46176242522654,8469200,846.92,846.92,846.92,846.92,0.0,461.7785714285714
2023-03-21,143.26954650878906,143.50337666245062,140.71550097711074,141.3360291196328,9753500,975.35,975.35,975.35,975.35,0.0,446.7821428571428
