Date,Close GLD,High GLD,Low GLD,Open GLD,Volume GLD,Close,Open,High,Low,Volume,ATR
2023-06-07,180.14999389648438,183.0,180.14999389648438,181.94000244140625,9066500,906.65,906.65,906.65,906.65,0.0,167.76857142857142
2023-06-08,182.52999877929688,183.0399932861328,181.9600067138672,182.0,6394100,639.41,639.41,639.41,639.41,0.0,177.29785714285714
2023-06-09,182.0399932861328,182.7899932861328,181.72000122070312,182.36000061035156,4379200,437.92,437.92,437.92,437.92,0.0,188.9928571428571
2023-06-12,181.8800048828125,181.94000244140625,181.0399932861328,181.8000030517578,4873600,487.36,487.36,487.36,487.36,0.0,166.805
2023-06-13,180.5399932861328,182.42999267578125,180.1699981689453,182.10000610351562,5126700,512.67,512.67,512.67,512.67,0.0,157.82214285714284
2023-06-14,180.63999938964844,181.9600067138672,180.13999938964844,181.69000244140625,6807000,680.7,680.7,680.7,680.7,0.0,167.05357142857142
2023-06-15,181.91000366210938,182.0500030517578,180.17999267578125,180.27999877929688,6739000,673.9,673.9,673.9,673.9,0.0,166.2085714285714
2023-06-16,181.6300048828125,182.6199951171875,181.41000366210938,181.92999267578125,8779100,877.91,877.91,877.91,877.91,0.0,172.9557142857143
2023-06-20,179.75,180.08999633789062,179.22000122070312,180.05999755859375,7584200,758.42,758.42,758.42,758.42,0.0,174.93642857142854
2023-06-21,179.49000549316406,179.9499969482422,178.19000244140625,179.14999389648438,6702300,670.23,670.23,670.23,670.23,0.0,155.57999999999998
2023-06-22,177.7100067138672,178.99000549316406,177.6300048828125,178.36000061035156,7945000,794.5,794.5,794.5,794.5,0.0,155.90357142857144
2023-06-23,178.1999969482422,179.9499969482422,178.08999633789062,179.60000610351562,5419800,541.98,541.98,541.98,541.98,0.0,163.75785714285712
2023-06-26,178.50999450683594,179.0800018310547,178.4199981689453,179.0500030517578,3222100,322.21,322.21,322.21,322.21,0.0,158.18928571428572
2023-06-27,177.69000244140625,179.2899932861328,177.42999267578125,179.07000732421875,5036900,503.69,503.69,503.69,503.69,0.0,165.56928571428574
2023-06-28,177.27999877929688,177.69000244140625,176.6999969482422,177.22999572753906,5866700,586.67,586.67,586.67,586.67,0.0,142.21571428571428
2023-06-29,177.08999633789062,177.6300048828125,175.7899932861328,175.8300018310547,6862500,686.25,686.25,686.25,686.25,0.0,130.24
2023-06-30,178.27000427246094,178.52999877929688,177.32000732421875,177.69000244140625,6420900,642.09,642.09,642.09,642.09,0.0,119.00214285714286
2023-07-03,178.47000122070312,179.33999633789062,178.4600067138672,178.61000061035156,4085700,408.57,408.57,408.57,408.57,0.0,132.1507142857143
2023-07-05,177.83999633789062,179.4199981689453,177.8300018310547,179.41000366210938,5650600,565.06,565.06,565.06,565.06,0.0,141.5207142857143
2023-07-06,177.30999755859375,177.8000030517578,176.66000366210938,177.50999450683594,5133000,513.3,513.3,513.3,513.3,0.0,133.21571428571428
2023-07-07,178.63999938964844,179.64999389648438,178.35000610351562,178.3800048828125,5201100,520.11,520.11,520.11,520.11,0.0,133.21642857142857
2023-07-10,178.77999877929688,178.9199981689453,178.25999450683594,178.3699951171875,3320500,332.05,332.05,332.05,332.05,0.0,132.07714285714286
2023-07-11,179.4499969482422,179.7100067138672,179.1300048828125,179.42999267578125,2818800,281.88,281.88,281.88,281.88,0.0,127.1257142857143
2023-07-12,181.8800048828125,181.9499969482422,181.10000610351562,181.17999267578125,7062000,706.2,706.2,706.2,706.2,0.0,151.13500000000002
2023-07-13,182.00999450683594,182.14999389648438,181.49000549316406,181.9600067138672,4527900,452.79,452.79,452.79,452.79,0.0,160.35928571428573
2023-07-14,181.42999267578125,182.1699981689453,181.11000061035156,181.58999633789062,5390000,539.0,539.0,539.0,539.0,0.0,148.48000000000002
2023-07-17,181.55999755859375,181.6300048828125,180.63999938964844,180.99000549316406,4152400,415.24,415.24,415.24,415.24,0.0,141.62214285714285
2023-07-18,183.63999938964844,184.22999572753906,182.32000732421875,182.7899932861328,8238000,823.8,823.8,823.8,823.8,0.0,157.84214285714285
2023-07-19,183.6699981689453,183.83999633789062,182.8699951171875,183.4499969482422,3911600,391.16,391.16,391.16,391.16,0.0,182.81785714285712
2023-07-20,182.74000549316406,183.77000427246094,182.47000122070312,183.72999572753906,4972900,497.29,497.29,497.29,497.29,0.0,183.28571428571428
2023-07-21,182.17999267578125,182.4600067138672,181.67999267578125,182.05999755859375,3845400,384.54,384.54,384.54,384.54,0.0,188.185
2023-07-24,181.39999389648438,182.5399932861328,181.33999633789062,182.22000122070312,4370000,437.0,437.0,437.0,437.0,0.0,175.25214285714284
2023-07-25,182.41000366210938,182.47000122070312,181.10000610351562,181.72000122070312,4090100,409.01,409.01,409.01,409.01,0.0,166.0735714285714
2023-07-26,183.3000030517578,183.63999938964844,182.30999755859375,182.66000366210938,6158400,615.84,615.84,615.84,615.84,0.0,177.15
2023-07-27,180.4199981689453,181.63999938964844,180.32000732421875,181.63999938964844,7592800,759.28,759.28,759.28,759.28,0.0,186.9092857142857
2023-07-28,181.86000061035156,182.27000427246094,181.25,181.47999572753906,3828800,382.88,382.88,382.88,382.88,0.0,200.36214285714283
