Date,Close LDOS,High LDOS,Low LDOS,Open LDOS,Volume LDOS,Close,Open,High,Low,Volume,ATR
2020-01-29,94.23958587646484,95.20206504594425,94.10076547554685,94.99846273269107,546900,546.9,546.9,546.9,546.9,0.0,187.53571428571428
2020-01-30,94.93368530273438,95.044735980153,93.03648954224157,93.72132794222028,531400,531.4,531.4,531.4,531.4,0.0,167.52142857142857
2020-01-31,92.98096466064453,95.08175569363246,92.89766959147184,94.92442919271647,900800,900.8,900.8,900.8,900.8,0.0,177.55714285714285
2020-02-03,94.82261657714844,95.59074995688373,93.68430490131277,94.09150243916288,928400,928.4,928.4,928.4,928.4,0.0,155.54285714285717
2020-02-04,97.46017456054688,98.33010907911735,95.49820419706224,95.49820419706224,914800,914.8,914.8,914.8,914.8,0.0,137.57857142857142
2020-02-05,98.6817855834961,98.7928433122091,97.09925001800356,97.67303769197281,822100,822.1,822.1,822.1,822.1,0.0,123.17857142857143
2020-02-06,101.76356506347656,104.76205302419349,101.54145667471562,104.76205302419349,1168200,1168.2,1168.2,1168.2,1168.2,0.0,126.03571428571429
2020-02-07,101.90238952636719,102.68902902438353,100.97692963206593,101.31009575887028,985200,985.2,985.2,985.2,985.2,0.0,132.65
2020-02-10,102.35584259033203,102.76304712245937,101.66174780731346,101.81907426356366,805200,805.2,805.2,805.2,805.2,0.0,141.80714285714288
2020-02-11,103.78106689453125,104.0309450077343,102.68902399036195,102.75380589735936,715000,715.0,715.0,715.0,715.0,0.0,126.72857142857141
2020-02-12,102.72603607177734,103.9476427047976,101.8838642788107,103.76255357219064,1075200,1075.2,1075.2,1075.2,1075.2,0.0,142.34285714285716
2020-02-13,104.66951751708984,104.72504991461408,102.244816999734,102.244816999734,879100,879.1,879.1,879.1,879.1,0.0,144.5142857142857
2020-02-14,104.401123046875,105.27105756219706,103.96615578921397,105.17851298966664,1150900,1150.9,1150.9,1150.9,1150.9,0.0,162.41428571428574
2020-02-18,114.03514862060547,116.45984858500977,108.17698685772648,108.18624343198606,2204800,2204.8,2204.8,2204.8,2204.8,0.0,231.09285714285716
2020-02-19,111.3605728149414,115.08091788328564,110.78678523116699,114.75700838466199,1593200,1593.2,1593.2,1593.2,1593.2,0.0,272.2642857142858
2020-02-20,110.37958526611328,113.13745852751978,109.39860015507301,111.49939781750935,1077600,1077.6,1077.6,1077.6,1077.6,0.0,307.9857142857144
2020-02-21,108.482421875,110.08346371429741,106.89988612891725,109.93539378648178,1136000,1136.0,1136.0,1136.0,1136.0,0.0,285.7714285714286
2020-02-24,105.3451156616211,106.76106836103673,104.206796731497,105.6042433372397,1229400,1229.4,1229.4,1229.4,1229.4,0.0,290.47142857142865
2020-02-25,101.01393127441406,105.93737677180567,100.87511090231726,105.43762766867565,1291100,1291.1,1291.1,1291.1,1291.1,0.0,293.9071428571429
2020-02-26,102.55945587158203,103.49417225676689,101.16200958135292,101.80057910973737,1233100,1233.1,1233.1,1233.1,1233.1,0.0,291.4285714285715
2020-02-27,97.27507781982422,100.84735312737034,97.20103934302483,100.57896894449588,1761100,1761.1,1761.1,1761.1,1761.1,0.0,304.42142857142863
2020-02-28,94.99845123291016,95.60000152360311,92.67554512488563,95.35937999518632,1684800,1684.8,1684.8,1684.8,1684.8,0.0,296.80000000000007
2020-03-02,101.85610961914062,101.86536619470772,95.2575833794714,96.506952774492,1437600,1437.6,1437.6,1437.6,1437.6,0.0,301.6
2020-03-03,101.18053436279297,105.23404625510243,100.85662480416644,104.23454785074158,1741500,1741.5,1741.5,1741.5,1741.5,0.0,316.86428571428576
2020-03-04,103.95690155029297,104.3918687881876,100.33835032499765,102.86485869838445,1027500,1027.5,1027.5,1027.5,1027.5,0.0,342.1357142857143
2020-03-05,99.55171203613281,102.7260394846169,98.74655945507776,101.49517623586434,885500,885.5,885.5,885.5,885.5,0.0,338.27142857142866
2020-03-06,97.80259704589844,98.44116660061707,94.11926374314072,96.00720268086243,1250800,1250.8,1250.8,1250.8,1250.8,0.0,344.9500000000001
2020-03-09,90.2601089477539,94.92442800267061,89.27912364763583,91.23184473195708,1810300,1810.3,1810.3,1810.3,1810.3,0.0,309.6357142857143
2020-03-10,95.1280288696289,95.17429763059363,87.8354070237378,92.92543673599481,1469800,1469.8,1469.8,1469.8,1469.8,0.0,290.2714285714286
2020-03-11,90.66729736328125,92.84212647220821,88.23333358043247,92.28685200662866,1424400,1424.4,1424.4,1424.4,1424.4,0.0,256.68571428571425
2020-03-12,79.40446472167969,87.85391133044887,79.0435359142747,84.09654627864356,1762900,1762.9,1762.9,1762.9,1762.9,0.0,276.6928571428571
2020-03-13,83.91079711914062,84.34749491719538,74.33134703802752,83.75284470799434,1866100,1866.1,1866.1,1866.1,1866.1,0.0,277.3928571428571
2020-03-16,72.47305297851562,80.51942354515911,70.90280122890208,73.2163691779133,2061700,2061.7,2061.7,2061.7,2061.7,0.0,286.95714285714286
2020-03-17,75.61355590820312,78.32665530777055,71.84124252967197,73.93181154583537,2556000,2556.0,2556.0,2556.0,2556.0,0.0,318.12142857142857
2020-03-18,72.25006866455078,74.52646324885549,63.64621357457238,69.88075422881371,1916200,1916.2,1916.2,1916.2,1916.2,0.0,326.10714285714283
2020-03-19,70.5311508178711,73.21636980063073,68.59853435403085,70.97713487027195,1344500,1344.5,1344.5,1344.5,1344.5,0.0,361.49285714285713
2020-03-20,67.3720703125,72.13856494052202,66.08985016000628,71.71116058595376,1684800,1684.8,1684.8,1684.8,1684.8,0.0,368.14285714285717
