Date,Close NEM,High NEM,Low NEM,Open NEM,Volume NEM,Close,Open,High,Low,Volume,ATR
2023-07-07,39.82769775390625,40.37457239347627,39.657977169974394,39.69569005774885,6738500,673.85,673.85,673.85,673.85,0.0,301.735
2023-07-10,40.17656326293945,40.393427638127,39.459964495775516,39.488253655559404,6998700,699.87,699.87,699.87,699.87,0.0,230.7114285714286
2023-07-11,40.83658981323242,40.86487537791032,40.21428221242533,40.21428221242533,6797500,679.75,679.75,679.75,679.75,0.0,174.19714285714286
2023-07-12,42.628074645996094,42.76950964647534,41.468319871327246,41.51546367253984,10074400,1007.44,1007.44,1007.44,1007.44,0.0,175.39285714285717
2023-07-13,42.873233795166016,43.09009818668465,42.496076142273296,42.741229695706146,8086800,808.68,808.68,808.68,808.68,0.0,182.38928571428576
2023-07-14,42.41121292114258,43.29752866833377,42.382927358023814,42.873230834185435,5124300,512.43,512.43,512.43,512.43,0.0,194.42000000000004
2023-07-17,42.07176971435547,42.45835464434561,41.81718886823881,41.949196548953815,4912000,491.2,491.2,491.2,491.2,0.0,194.15000000000006
2023-07-18,42.41121292114258,43.118380773845395,42.19434854460139,42.43007116216899,6037400,603.74,603.74,603.74,603.74,0.0,186.75500000000005
2023-07-19,42.599796295166016,42.72237307653953,42.14720925260466,42.14720925260466,6246200,624.62,624.62,624.62,624.62,0.0,179.56285714285715
2023-07-20,40.025699615478516,41.58146667241673,40.025699615478516,40.940300889984954,12791600,1279.16,1279.16,1279.16,1279.16,0.0,216.11571428571432
2023-07-21,40.7422981262207,40.89316046414092,39.648545277088665,39.74283648631496,6340500,634.05,634.05,634.05,634.05,0.0,254.25357142857146
2023-07-24,40.76115036010742,40.9120126757914,40.11998461924017,40.63857360460128,4635000,463.5,463.5,463.5,463.5,0.0,241.145
2023-07-25,41.11945343017578,41.44946365158905,40.591433479072904,40.761154049183055,6412000,641.2,641.2,641.2,641.2,0.0,211.38500000000002
2023-07-26,40.96859359741211,41.29860383893578,40.42171537221074,40.7988730169594,6319100,631.91,631.91,631.91,631.91,0.0,202.76428571428573
2023-07-27,39.705116271972656,40.43114232901012,39.695685353515216,40.31799288856997,6877600,687.76,687.76,687.76,687.76,0.0,195.4664285714286
2023-07-28,39.99740982055664,40.22370510357449,39.61082489290068,40.08227010208315,5194800,519.48,519.48,519.48,519.48,0.0,205.62785714285718
2023-07-31,40.4688606262207,40.987453305511345,39.959702463491155,40.072848322226385,7764300,776.43,776.43,776.43,776.43,0.0,222.54428571428573
2023-08-01,39.32795715332031,39.81826058586701,39.31852983206656,39.81826058586701,5480600,548.06,548.06,548.06,548.06,0.0,215.45000000000002
2023-08-02,38.337928771972656,39.16767344475354,38.158780866294414,39.12995696034488,8769900,876.99,876.99,876.99,876.99,0.0,224.74785714285716
2023-08-03,38.130489349365234,38.583076343788484,37.90419765057446,38.33792640395819,7884500,788.45,788.45,788.45,788.45,0.0,209.9114285714286
2023-08-04,38.53593063354492,38.65850739581802,37.97019781770859,38.29078070584025,8131100,813.11,813.11,813.11,813.11,0.0,210.15642857142856
2023-08-07,38.16820526123047,38.451071678913905,38.026773850809576,38.43221343815612,5413000,541.3,541.3,541.3,541.3,0.0,221.53285714285715
2023-08-08,37.564754486083984,37.819335331168745,37.33845920261703,37.77219152952523,7671900,767.19,767.19,767.19,767.19,0.0,236.1764285714286
2023-08-09,37.63075637817383,38.13048714792334,37.56475433676697,37.715616659531435,7431000,743.1,743.1,743.1,743.1,0.0,191.14428571428576
2023-08-10,37.564754486083984,38.253064061235435,37.47989420438907,37.979624976124974,6221300,622.13,622.13,622.13,622.13,0.0,153.7057142857143
2023-08-11,37.894771575927734,37.92306073952421,37.33846598309245,37.423326280197564,4239700,423.97,423.97,423.97,423.97,0.0,155.67785714285716
2023-08-14,37.20645523071289,37.583612838673574,37.00844910511222,37.564754598591385,8737100,873.71,873.71,873.71,873.71,0.0,175.10928571428573
