Date,Close NVDA,High NVDA,Low NVDA,Open NVDA,Volume NVDA,Close,Open,High,Low,Volume,ATR
2022-09-15,12.91348648071289,13.217121614092488,12.774653326840804,12.999383731864688,523625000,523.625,523.625,523.625,523.625,0.0,164.18271428571424
2022-09-16,13.182161331176758,13.196144469129576,12.6018582485453,12.726708238855368,670751000,670.751,670.751,670.751,670.751,0.0,174.57999999999993
2022-09-19,13.36594295501709,13.446846091073702,12.994389575590436,12.996387031012944,569685000,569.685,569.685,569.685,569.685,0.0,162.2993571428571
2022-09-20,13.160188674926758,13.466820440382488,13.041331990997975,13.19914238617269,524818000,524.818,524.818,524.818,524.818,0.0,163.07207142857138
2022-09-21,13.245086669921875,14.014163138166957,13.09426784489799,13.197144886473634,807679000,807.679,807.679,807.679,807.679,0.0,180.16721428571424
2022-09-22,12.545927047729492,13.133221762579595,12.413087222872996,13.054316087751957,759162000,759.162,759.162,759.162,759.162,0.0,140.40735714285708
2022-09-23,12.500981330871582,12.595867603171111,12.24229229089388,12.405096807170457,663309000,663.309,663.309,663.309,663.309,0.0,116.13199999999996
2022-09-26,12.21332836151123,12.643811950343157,12.19934521986969,12.47601329811459,547343000,547.343,547.343,547.343,547.343,0.0,109.60057142857139
2022-09-27,12.398104667663574,12.720717026131021,12.243290932361806,12.49199173171832,553854000,553.854,553.854,553.854,553.854,0.0,108.41607142857139
2022-09-28,12.720718383789062,12.807613887508177,12.339176768594774,12.395109331442937,542414000,542.414,542.414,542.414,542.414,0.0,101.21778571428568
2022-09-29,12.205334663391113,12.484998359945555,11.931663331695866,12.433060721046752,532763000,532.763,532.763,532.763,532.763,0.0,92.0313571428571
2022-09-30,12.124433517456055,12.617841167209532,12.060510185916865,12.072495870113585,565638000,565.638,565.638,565.638,565.638,0.0,94.2043571428571
2022-10-03,12.49698543548584,12.662786597962567,12.090473302526956,12.332183476861937,547478000,547.478,547.478,547.478,547.478,0.0,79.01599999999998
2022-10-04,13.151200294494629,13.204137147620418,12.86354576862045,12.86354576862045,584182000,584.182,584.182,584.182,584.182,0.0,72.60564285714283
2022-10-05,13.19314956665039,13.305015637695266,12.605855789387167,12.895507767366093,507131000,507.131,507.131,507.131,507.131,0.0,73.47485714285712
2022-10-06,13.114242553710938,13.639611314052862,13.087274530186729,13.204134695418574,644157000,644.157,644.157,644.157,644.157,0.0,72.75342857142854
2022-10-07,12.06151008605957,12.654797201659376,12.007574980325952,12.489995225103874,672478000,672.478,672.478,672.478,672.478,0.0,67.55735714285711
2022-10-10,11.65599536895752,12.109450061368408,11.394309701013055,12.022554573324271,698699000,698.699,698.699,698.699,698.699,0.0,66.22549999999997
2022-10-11,11.572097778320312,11.831785066433634,11.269460914699508,11.547127205645026,667482000,667.482,667.482,667.482,667.482,0.0,48.25092857142854
2022-10-12,11.486200332641602,11.720917996528284,11.331386594866553,11.565106007381553,492590000,492.59,492.59,492.59,492.59,0.0,57.27771428571426
2022-10-13,11.945649147033691,12.063507588455623,10.800025128253889,10.957835535283426,850103000,850.103,850.103,850.103,850.103,0.0,75.96771428571425
2022-10-14,11.213529586791992,12.096468749363734,11.190557419433182,12.042533640006935,713432000,713.432,713.432,713.432,713.432,0.0,77.44664285714282
2022-10-17,11.873733520507812,11.933661937528136,11.503179396409214,11.504177647717126,580774000,580.774,580.774,580.774,580.774,0.0,86.4571428571428
2022-10-18,11.95263957977295,12.477009197539308,11.604058403445793,12.329187034111122,659362000,659.362,659.362,659.362,659.362,0.0,91.25342857142853
2022-10-19,12.036539077758789,12.335181032699738,11.819799458687841,11.864745537264808,523131000,523.131,523.131,523.131,523.131,0.0,100.29485714285708
2022-10-20,12.179368019104004,12.753677855723845,12.090474113843353,12.098464887612497,652398000,652.398,652.398,652.398,652.398,0.0,107.17999999999996
2022-10-21,12.451041221618652,12.483003364755136,11.87273646370664,12.083482766993896,609494000,609.494,609.494,609.494,609.494,0.0,108.94742857142852
2022-10-24,12.583881378173828,12.694748240906902,12.049523522041948,12.492990972974244,517457000,517.457,517.457,517.457,517.457,0.0,112.89978571428567
